id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90275,103,Sierra Minorista,Origen-Destino,6H,Directa Centro,Cootransi,111845,1755182463247,,,,,1755182463247
90237,60,Santo Domingo,Origen-Destino,6E,Directa Centro,Cootranscol,131505,1755182463247,,,,,1755182463247
90238,069,El Jardín,Origen-Destino,6E,Directa Centro,Coopetransa,111515,1755182463247,,,,,1755182463247
90240,087 Horario Esp,Pinar Torres horario esp,Origen-Destino,6F,Directa Centro,Cootranspinal,112905,1755182463247,,,,,1755182463247
90242,90,Pinal,Origen-Destino,6F,Directa Centro,Copatra,111545,1755182463247,,,,,1755182463247
90242,90,Pinal,Destino-Origen,6F,Directa Centro,Copatra,111545,1755182463247,,,,,1755182463247
90243,91,Alcázares de Sucre,Origen-Destino,6F,Directa Centro,Copatra,112915,1755182463247,,,,,1755182463247
90254,106,Tres Esquinas,Origen-Destino,6F,Directa Centro,Cootransmallat,111646,1755182463247,,,,,1755182463247
90243,91,Alcázares de Sucre,Destino-Origen,6F,Directa Centro,Copatra,112915,1755182463247,,,,,1755182463247
90244,91,Llanadas,Origen-Destino,6F,Directa Centro,Copatra,111565,1755182463247,,,,,1755182463247
90244,91,Llanadas,Destino-Origen,6F,Directa Centro,Copatra,111565,1755182463247,,,,,1755182463247
90247,105,Golondrinas,Origen-Destino,6F,Directa Centro,Cootransmallat,111606,1755182463247,,,,,1755182463247
90249,105,Golondrinas - Minorista,Origen-Destino,6F,Directa Centro,Cootransmallat,111616,1755182463247,,,,,1755182463247
90306,223,San Javier La Loma-Minorista,Origen-Destino,8A,Directa Centro,Conducciones América,112335,1755182463247,,,,,1755182463247
90294,201B,Corazón-Plaza Minorista,Origen-Destino,8A,Directa Centro,Conducciones América,112225,1755182463247,,,,,1755182463247
90266,93,Caicedo La Toma,Origen-Destino,6H,Directa Centro,Copatra,111755,1755182463247,,,,,1755182463247
90267,93,Caicedo,Origen-Destino,6H,Directa Centro,Copatra,111765,1755182463247,,,,,1755182463247
90323,243iD,Floresta Directa,Origen-Destino,8A,Integrada,Coonatra,112182,1755182463247,,,,,1755182463247
90278,107,Perlas,Origen-Destino,6H,Directa Centro,Cootransvi,111875,1755182463247,,,,,1755182463247
90306,223,San Javier La Loma-Minorista,Destino-Origen,8A,Directa Centro,Conducciones América,112335,1755182463247,,,,,1755182463247
90268,93,Caicedo La Toma Minorista,Origen-Destino,6H,Directa Centro,Copatra,111775,1755182463247,,,,,1755182463247
90311,227i-1,Quintas,Origen-Destino,8A,Integrada,Metrosan,111982,1755182463247,,,,,1755182463247
90307,225i-1,20 de Julio,Destino-Origen,8A,Integrada,Metrosan,111912,1755182463247,,,,,1755182463247
90269,94,Santa Lucía,Origen-Destino,6H,Directa Centro,Copatra,111785,1755182463247,,,,,1755182463247
90294,201B,Corazón-Plaza Minorista,Destino-Origen,8A,Directa Centro,Conducciones América,112225,1755182463247,,,,,1755182463247
90269,94,Santa Lucía,Destino-Origen,6H,Directa Centro,Copatra,111785,1755182463247,,,,,1755182463247
90270,95,Perlas,Origen-Destino,6H,Directa Centro,Copatra,111795,1755182463247,,,,,1755182463247
90326,C23_Alterna,San Cristóbal-La Asomadera-Centro,Origen-Destino,8A,Directa Centro,Tax Maya,112055,1755182463247,,,,,1755182463247
90326,C23_Alterna,San Cristóbal-La Asomadera-Centro,Destino-Origen,8A,Directa Centro,Tax Maya,112055,1755182463247,,,,,1755182463247
90327,C23,San Cristóbal-San Javier-La Loma-Centro,Origen-Destino,8A,Directa Centro,Tax Maya,112045,1755182463247,,,,,1755182463247
90327,C23,San Cristóbal-San Javier-La Loma-Centro,Destino-Origen,8A,Directa Centro,Tax Maya,112045,1755182463247,,,,,1755182463247
90324,311i,Santa Lucia,Origen-Destino,8A,Integrada,Coonatra,112192,1755182463247,,,,,1755182463247
